<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
US1.GE,1,02/28/22,14:53,94.4000000,94.4000000,94.4000000,94.4000000,181
US1.GE,1,02/28/22,14:55,94.5100000,94.5200000,94.4900000,94.4900000,800
US1.GE,1,02/28/22,14:57,94.6200000,94.6300000,94.5700000,94.6300000,300
US1.GE,1,02/28/22,14:59,94.7100000,94.7100000,94.6700000,94.6700000,800
US1.GE,1,02/28/22,15:00,94.6800000,94.6800000,94.6000000,94.6000000,200
US1.GE,1,02/28/22,15:01,94.6600000,94.6600000,94.5700000,94.5700000,829
US1.GE,1,02/28/22,15:02,94.5700000,94.5700000,94.5700000,94.5700000,100
US1.GE,1,02/28/22,15:04,94.6100000,94.6100000,94.6100000,94.6100000,100
US1.GE,1,02/28/22,15:05,94.6100000,94.6100000,94.5500000,94.5500000,373
US1.GE,1,02/28/22,15:06,94.4900000,94.5100000,94.3900000,94.4000000,1000
US1.GE,1,02/28/22,15:07,94.3300000,94.3800000,94.3300000,94.3800000,300
US1.GE,1,02/28/22,15:08,94.3400000,94.3400000,94.3400000,94.3400000,200
US1.GE,1,02/28/22,15:09,94.5100000,94.5600000,94.5100000,94.5600000,511
US1.GE,1,02/28/22,15:10,94.6400000,94.6400000,94.6400000,94.6400000,100
US1.GE,1,02/28/22,15:11,94.6100000,94.6100000,94.5300000,94.5300000,752
US1.GE,1,02/28/22,15:12,94.5200000,94.5600000,94.5200000,94.5600000,380
US1.GE,1,02/28/22,15:13,94.3900000,94.4100000,94.3900000,94.4100000,242
US1.GE,1,02/28/22,15:14,94.4800000,94.4800000,94.4800000,94.4800000,100
US1.GE,1,02/28/22,15:15,94.4500000,94.4800000,94.4400000,94.4800000,476
US1.GE,1,02/28/22,15:16,94.4600000,94.4600000,94.4600000,94.4600000,100
US1.GE,1,02/28/22,15:17,94.5100000,94.5100000,94.4900000,94.4900000,340
US1.GE,1,02/28/22,15:18,94.6200000,94.6200000,94.5900000,94.5900000,292
US1.GE,1,02/28/22,15:19,94.5900000,94.5900000,94.5800000,94.5900000,300
US1.GE,1,02/28/22,15:20,94.6400000,94.6900000,94.6400000,94.6900000,297
US1.GE,1,02/28/22,15:21,94.9000000,94.9000000,94.9000000,94.9000000,300
US1.GE,1,02/28/22,15:22,94.8400000,94.9500000,94.8300000,94.9500000,638
US1.GE,1,02/28/22,15:23,94.9500000,95.0200000,94.9500000,94.9800000,661
US1.GE,1,02/28/22,15:24,94.9600000,94.9800000,94.8900000,94.9500000,803
US1.GE,1,02/28/22,15:26,94.9500000,94.9500000,94.9500000,94.9500000,100
US1.GE,1,02/28/22,15:27,94.9700000,94.9700000,94.9700000,94.9700000,100
US1.GE,1,02/28/22,15:28,94.9500000,95.0100000,94.9500000,94.9800000,500
US1.GE,1,02/28/22,15:29,95.0300000,95.0900000,95.0300000,95.0900000,800
US1.GE,1,02/28/22,15:30,95.0000000,95.0000000,94.9400000,94.9400000,359
US1.GE,1,02/28/22,15:31,94.8900000,94.8900000,94.8150000,94.8150000,1300
US1.GE,1,02/28/22,15:33,94.8600000,94.8600000,94.7700000,94.8000000,656
US1.GE,1,02/28/22,15:34,94.7900000,94.7900000,94.7100000,94.7100000,500
US1.GE,1,02/28/22,15:35,94.6300000,94.6300000,94.6300000,94.6300000,300
US1.GE,1,02/28/22,15:36,94.5800000,94.5800000,94.5100000,94.5100000,500
US1.GE,1,02/28/22,15:37,94.6000000,94.6000000,94.6000000,94.6000000,100
